8.46292	0.243462	-3.03909	-0.087429	8.46292	0.243462	8.6	0.25	-3.00029	0
8.4473	0.251473	-1.09149	0.0894657	8.44818	0.251553	8.45	0.25	-3.00027	0
8.47195	0.240799	0.000721865	-0.211032	8.56759	0.241943	8.45	0.25	0	0
8.46435	0.252213	-0.00987036	0.0240191	8.45582	0.253997	8.45	0.25	0	0
8.375	0.252601	-1.10692	-0.00093447	8.42544	0.254042	8.35	0.25	-1.81979	0
8.29129	0.251022	-1.1245	-0.006573	8.23962	0.24916	8.25	0.25	-1.81978	0
8.08421	0.227166	-2.51285	-0.149372	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.93063	0.186047	-2.53722	-0.292587	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.75904	0.170782	-2.87284	-0.296577	7.61269	0.155818	7.7	0.15	-2.99982	0
7.59971	0.15826	-2.89182	-0.287495	7.54016	0.159641	7.55	0.15	-2.99982	0
7.49642	0.129235	-2.40286	-0.326292	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.36035	0.0783199	-2.40764	-0.426688	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.20556	0.045239	-2.5998	-0.45517	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.0612	-0.00847465	-2.60234	-0.536623	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.96366	-0.0662887	-2.15085	-0.620563	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.84608	-0.157715	-2.15177	-0.779971	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.74085	-0.229421	-2.10899	-0.873201	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.63599	-0.336281	-2.11298	-1.04996	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.60083	-0.437517	-1.53849	-1.21881	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.52868	-0.546593	-1.53656	-1.35453	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.49728	-0.684289	-1.05993	-1.57609	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
6.43807	-0.860735	-1.07803	-1.83208	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
6.34968	-0.990692	-1.3123	-1.88907	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
6.27002	-1.1447	-1.3393	-2.03296	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
6.34777	-1.36594	-0.0972255	-2.54882	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
6.34151	-1.55287	-0.114768	-2.68196	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
6.28876	-1.6863	-0.492863	-2.6027	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
6.25578	-1.85788	-0.525848	-2.72046	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
6.29937	-2.05834	0.0719814	-3.05985	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
6.30968	-2.21732	0.0814902	-3.07483	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
6.29959	-2.37719	-0.0500843	-3.00852	6.32593	-2.40018	6.35	-2.4	0	-2.72613
