1.55945	-0.138501	0	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1.80114	0.0200395	2.29648	-0.203961	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
3.89307	-0.134357	1.90897	-0.138084	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
3.98576	0.071908	2.3609	0.11688	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
6.85809	0.415645	3.34984	0.447032	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
6.69048	0.436017	2.64548	0.253804	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
9.08009	0.593952	2.14714	0.0931012	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
9.09344	0.666238	2.39136	0.230907	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
11.5744	1.66092	2.57845	1.51418	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
11.5258	1.61987	2.38729	1.40337	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
13.5957	2.3177	1.7472	0.195229	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
13.69	2.29521	2.30415	0.249981	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
16.6386	2.89985	3.56559	0.878759	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
16.4805	2.87228	2.87298	0.751744	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
19.0142	3.70506	2.22007	0.874684	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
19.0872	3.72527	2.36758	0.913536	19.363	3.87122	18.923	3.74161	2.61382	0.95648
21.3325	4.73137	2.1358	1.06466	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
21.4288	4.75092	2.49896	1.15728	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
24.0773	5.57229	2.76929	0.59551	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
24.1857	5.6065	2.99789	0.663985	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
26.6109	6.95586	1.93231	1.79365	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
